latitude,longitude,severity,hour_ist,event_cause,police_station,zone,requires_road_closure,on_corridor,event_type
13.0400041,77.5180991,0.5287255520504732,22,vehicle_breakdown,Peenya,Unknown,False,1,unplanned
12.9218755,77.6451585,0.30563406940063087,9,vehicle_breakdown,HSR Layout,Unknown,False,1,unplanned
12.955622,77.5857083,0.39379179810725556,11,others,Wilson Garden,Central Zone 2,False,0,unplanned
13.0061469,77.5794348,0.7341388012618297,23,tree_fall,Sadashivanagar,Unknown,True,0,unplanned
12.95398,77.5852333,0.1098801261829653,10,vehicle_breakdown,Wilson Garden,Unknown,False,0,unplanned
13.0664854,77.5998755,0.1596971608832808,8,accident,Hebbala,North Zone 1,False,0,unplanned
12.9328703,77.4879814,0.2086056782334385,12,vehicle_breakdown,Kengeri,Unknown,False,0,unplanned
12.973175,77.6003961,0.39379179810725556,11,others,Cubbon Park,Unknown,False,0,unplanned
13.0373543,77.6540442,0.2111798107255521,10,vehicle_breakdown,Hennuru,Unknown,False,0,unplanned
13.0008457,77.6813712,0.6329526813880128,23,water_logging,K.R. Pura,Unknown,False,1,unplanned
12.94457,77.5274017,0.47789905362776025,10,vehicle_breakdown,Byatarayanapura,Unknown,False,1,unplanned
12.9995223,77.6827499,0.41596845425867507,23,water_logging,Mahadevapura,Unknown,False,1,unplanned
13.0418933,77.594705,0.6463785488958992,0,others,Hebbala,North Zone 1,False,1,unplanned
12.975285,77.6256902,0.2873627760252366,0,pot_holes,Halasur,Unknown,False,1,unplanned
13.0633917,77.5933483,0.2597539432176656,0,others,Kodigehalli,Unknown,False,1,unplanned
13.063425,77.5933,0.2854447949526813,0,others,Kodigehalli,Unknown,False,1,unplanned
13.0254527,77.6417388,0.3059369085173501,0,others,Hennuru,Unknown,False,1,unplanned
12.9233517,77.5904883,0.3490725552050473,1,tree_fall,Jayanagara,Unknown,False,0,unplanned
13.0001393,77.5840594,0.558858044164038,10,vehicle_breakdown,Sadashivanagar,Unknown,False,1,unplanned
12.9071221,77.6286395,0.34419558359621444,0,vehicle_breakdown,Madiwala,Unknown,False,1,unplanned
12.927375,77.5806883,0.7247003154574133,1,tree_fall,Jayanagara,Unknown,True,0,unplanned
12.9169074,77.5950955,0.39379179810725556,4,pot_holes,Jayanagara,South Zone 1,False,0,unplanned
12.9667047,77.6615983,0.06541324921135648,14,pot_holes,Jeevanbheemanagar,Unknown,False,1,unplanned
12.8966387,77.7202071,0.05496529968454259,1,water_logging,Whitefield,Unknown,False,0,unplanned
12.9463911,77.597326,0.7147066246056782,11,tree_fall,Wilson Garden,Unknown,True,0,unplanned
12.9856042,77.5977438,0.3072492113564668,14,pot_holes,Shivajinagar,Unknown,False,1,unplanned
12.9077383,77.6005709,0.500410094637224,13,vehicle_breakdown,Mico Layout,Unknown,False,1,unplanned
12.9635109,77.6642122,0.04840378548895899,13,pot_holes,HAL Old Airport,Unknown,False,1,unplanned
12.9667073,77.6615616,0.011861198738170346,14,pot_holes,Jeevanbheemanagar,Unknown,False,1,unplanned
12.9666867,77.6616478,0.06082018927444795,14,pot_holes,Jeevanbheemanagar,Unknown,False,0,unplanned
12.907814,77.6006561,0.8660946372239747,13,vehicle_breakdown,Mico Layout,Unknown,True,1,unplanned
